"item_id","section","legacy_score","statement","disposition","embedded_assumption","ambiguity_and_bias","gaming_risk","role_or_culture_risk","required_evidence"
"L106","User Stories","1","User stories are a starting point for a conversation and there is evidence that the team refines or rewrites user stories. (N in INVEST)","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L107","User Stories","1","User stories have a narrative around business value. (V in INVEST)","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L108","User Stories","1","User stories are all small enough to be finished in a sprint. (S in INVEST)","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L109","User Stories","1","User storiesfollow a standard form such as 'In order to <business value description>, As a <persona>, I want <feature>.","retain-as-evidence-prompt","Assumes respondents can accurately report the operational condition without a defined window or data source.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L110","User Stories","1","User story development is driven by collaborative lightweight artifacts (e.g. lo-fi prototypes, story mapping).","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L111","User Stories","1","User stories represent an agreement between the Product Owner (business, customer) and the development team.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L112","User Stories","2","User story acceptance criteriafollow a BDD approach an example of which can be found in the Gherkin syntax(https://cucumber.io/docs/gherkin/).","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L113","User Stories","2","Multiple scenarios are included in acceptance criteria including success conditions, failure modes and edge cases.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L114","User Stories","2","All user stories are traceable back to the vision and business goals & objectives.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L115","User Stories","3","Other stakeholders and users are brought into the discussion whenever needed to develop user stories.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L116","Information Radiators Ensure visibility of valuable project status indicators","-1","No project status information of any kind is posted in the (physical or digital) team area.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L117","Information Radiators Ensure visibility of valuable project status indicators","1","Project status details are available in the (physical or digital) team area.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L118","Information Radiators Ensure visibility of valuable project status indicators","1","Information radiators are up-to-date.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L119","Information Radiators Ensure visibility of valuable project status indicators","1","At least one of the following valuable project status indicators is available to the team AND to in-house visitors:Release Plan & Road BlocksBurn Up & VelocityStory Card WallUnit Test & Acceptance Test CoverageCI Metrics","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L120","Information Radiators Ensure visibility of valuable project status indicators","2","Team decides what is visible.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L121","Information Radiators Ensure visibility of valuable project status indicators","2","Some advanced examples of information radiators are used - like for instance;Flow of information is centered around the workspace. The walls should tell a story to the team and customerCharts track everything from future product requests to fully-tested stories","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L122","Information Radiators Ensure visibility of valuable project status indicators","2","Other charts are available and accurate - may include;Organizational Value stream mapProgram Demand ManagementPersonas / Persona Maps","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L123","Information Radiators Ensure visibility of valuable project status indicators","3","Information radiators are dynamic and evolve based on team needs, integrating real-time metrics, customer feedback, and system health in a way that drives daily decisions and continuous improvement.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L124","Learning and Development","-1","The only learning is mandated corporate learning.","rewrite","Assumes endorsement of this statement represents organizational capability.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L125","Learning and Development","1","There is budget available for learning and development.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L126","Learning and Development","1","Both management and team values learning and development.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L127","Learning and Development","1","There is some level of team self-organized and self-motivated learning.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L128","Learning and Development","1","Opportunities are taken by team members to learn from each other and knowledge share.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L129","Learning and Development","1","Learning and development takes place even when teams are stretched or understaffed.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L130","Learning and Development","1","Team owns budget and decides how to invest in learning and development.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L131","Learning and Development","1","Majority of team are involved when a learning & development activity takes place.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L132","Learning and Development","1","Learning and development is included in OKRs.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L133","Learning and Development","1","Attendance at conferences, meetups, and other Socratic forums is encouraged and sponsored.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L134","Learning and Development","1","Majority of team is involved in deciding topics and developing content for learning and development.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L135","Learning and Development","2","Team shares learning and development information on the team wiki.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L136","Learning and Development","2","Team makes use of local communities for learning and development.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L137","Learning and Development","2","Learning groups go beyond team members and include members from management.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L138","Learning and Development","3","The team holds regular (weekly) learning events.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L139","Sprint Planning","-1","Sprint planning is a long meeting >5% of a sprint duration) that includes backlog grooming, narrative writing, estimation, capacity planning and/or other context setting activities.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L140","Sprint Planning","-1","Attempts are made to plan a sprint day by day or per team member.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L141","Sprint Planning","-1","The team is handed a commitment.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L142","Sprint Planning","1","Sprint Planning always takes place.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L143","Sprint Planning","1","Product owner participates in the planning.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L144","Sprint Planning","1","Team members gain valuable direction from Sprint Planning.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L145","Sprint Planning","1","All user stories meet the definition of ready prior to the start of the sprint.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L146","Sprint Planning","1","User stories are tasked out (if necessary) in the sprint planning meeting.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L147","Sprint Planning","1","Team makes their own commitments for the sprint based on velocity and capacity planning.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L148","Sprint Planning","1","The team has a shared agreement on the achievable scope of work plan for the sprint.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L149","Sprint Planning","2","Sprint planning is a short event where team comes together to get a go/no-go decision on stories.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L150","Sprint Planning","2","Acceptance criteria and assumptions are revisited and tasks are highlighted as a reminder.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L151","Sprint Planning","2","The focus of planning shifts from the team to product owners and the business to prioritize the next set of user stories.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L152","Sprint Planning","3","Planning is real-time based on a blue-print of an agile release plan.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L153","Sprint Planning","3","Intent behind planning is not team commitment but adaptive change, balancing business value with cost and time.","split-or-operationalize","Assumes respondents can accurately report the operational condition without a defined window or data source.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Verify with telemetry, records, or a sampled artifact; define product/service and time window."
"L154","Backlog Refinement","-1","There is no meeting to refine the backlog.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L155","Backlog Refinement","1","The three amigos sometimes meet to refine the backlog.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L156","Backlog Refinement","1","The three amigos always meet to refine the backlog.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L157","Backlog Refinement","1","Sufficient work is done during the Backlog Refinement meeting (and perhaps afterward) so that stories for Sprint Planning generally meet most INVEST criteria and have well-understood acceptance criteria so that the team considers them ""ready"".","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L158","Backlog Refinement","2","By the end of the Backlog Refinement meeting all stories pre-positioned for the coming sprint have sufficient definition and acceptance criteria so that the team considers them ""ready"".","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L159","Backlog Refinement","2","Work on defining stories for the next release(s) sometimes occurs.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L160","Backlog Refinement","3","By the end of the Backlog Refinement meeting all stories pre-positioned for the coming sprint have Gherkin (or other behavioral specification) acceptance criteria and the team considers them ""ready"".","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; absolute wording; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L161","Backlog Refinement","3","Work on defining stories and story maps for the next release(s) occurs regularly enough that additional events for epic decomposition, story writing and mapping is not required prior to Release Planning (regular in-the-flow-of-the-day collaboration on stories is not an additional event).","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L162","Daily Standup","-1","Stand-ups are frequently monopolized by individuals or hijacked by management.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L163","Daily Standup","-1","Standup is used to update the team board causing longer meetings.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L164","Daily Standup","-1","The standup is not attended on time.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L165","Daily Standup","1","Team members highlight what they did yesterday, what they will do today.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L166","Daily Standup","1","Team members highlight any impediments/blockers.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L167","Daily Standup","1","Highlights are related to the sprint backlog.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L168","Daily Standup","1","Team avoids using Daily Standup to solve problems.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L169","Daily Standup","1","Standups are completed in an average of < 15 mins.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L170","Daily Standup","1","The full team turns up on time.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L171","Daily Standup","1","Problem solving is taken outside of the standup.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L172","Daily Standup","1","Someone will stop conversations from going down 'rat holes'.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L173","Daily Standup","1","Stand ups are always completed in 15 mins.","rewrite","Assumes endorsement of this statement represents organizational capability.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L174","Daily Standup","2","Team has improved stand ups through the retrospective process.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L175","Daily Standup","2","Standup is self-facilitated by the team.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L176","Daily Standup","3","Team has reinvented the daily standup to fit their circumstances to better enable fast feedback and adaption of plans.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","potentially compound statement; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
"L177","Sprint Demo","-1","There is no clear indication of working software.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L178","Sprint Demo","1","Demonstrationalways takes place.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L179","Sprint Demo","1","Feedback is captured.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L180","Sprint Demo","1","The Product Owner is present.","rewrite","Assumes endorsement of this statement represents organizational capability.","no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L181","Sprint Demo","1","Team knows the stories to demonstrate, and they are complete.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L182","Sprint Demo","1","Effective time management allow team to complete demonstration of planned stories within the meeting timebox.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L183","Sprint Demo","1","Demonstration is at an appropriate level for the stakeholders,focused on how product is used instead of how it is implemented","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L184","Sprint Demo","1","Stories are accepted and approved by Product Owner in order for stories to make it to the demo.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L185","Sprint Demo","1","Demonstration is planned in advance and demoed features clearly work.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L186","Sprint Demo","1","Demonstration uses realistic data.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L187","Sprint Demo","1","Demonstration only shows new features, unless old features are necessary to provide context.","rewrite","Assumes endorsement of this statement represents organizational capability.","absolute wording; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L188","Sprint Demo","2","Demonstrationsare well scripted with a value-based story line.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","undefined evaluative or frequency term; no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L189","Sprint Demo","2","Majority of stakeholders get to see the demo. For example, this may be achieved by multiple demos or recording.","split-or-operationalize","Assumes endorsement of this statement represents organizational capability.","potentially compound statement; no explicit recall window or threshold","medium","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Triangulate anonymous role-stratified responses with an artifact, event sample, or operational measure."
"L190","Sprint Demo","3","Product Ownerarticulates on how sprint results align to business goals & objectives.","remove-or-rewrite","Assumes this named Agile practice is universally desirable and belongs on a linear maturity path.","no explicit recall window or threshold","high","Likely executive/engineer information asymmetry; terminology and candor may vary by hierarchy and culture.","Do not score the practice itself; ask what constraint it addresses and verify the resulting outcome."
